,0
0,6
1,2
2,4
3,31
4,2
5,18
6,24
7,9
8,24
9,25
10,7
11,13
12,17
13,14
14,1
15,1
16,2
17,22
18,2
19,9
20,11
21,4
22,25
23,1
24,1
25,9
26,16
27,43
28,11
29,3
30,2
31,1
32,31
33,6
34,1
35,2
36,1
37,3
38,2
39,11
40,26
41,9
42,4
43,4
44,9
45,8
46,5
47,3
48,1
49,3
50,9
51,16
52,33
53,5
54,23
55,6
56,6
57,15
58,32
59,31
60,21
61,2
62,8
63,2
64,2
65,24
66,5
67,4
68,1
69,19
70,24
71,11
72,5
73,4
74,3
75,3
76,7
77,1
78,11
79,3
80,34
81,3
82,4
83,5
84,2
85,2
86,7
87,9
88,9
89,3
90,2
91,15
92,17
93,4
94,5
95,31
96,1
97,1
98,2
99,2
100,5
101,36
102,13
103,3
104,2
105,6
106,33
107,3
108,11
109,5
110,17
111,9
112,12
113,42
114,17
115,3
116,23
117,10
118,8
119,21
120,10
121,3
122,1
123,10
124,2
125,31
126,18
127,1
128,2
129,4
130,2
131,2
132,1
133,5
134,1
135,32
136,9
137,2
138,11
139,10
140,2
141,22
142,8
143,9
144,1
145,1
146,2
147,12
148,2
149,2
150,29
151,12
152,2
153,4
154,29
155,20
156,6
157,32
158,23
159,1
160,6
161,8
162,23
163,3
164,1
165,3
166,2
167,4
168,25
169,32
170,8
171,2
172,19
173,2
174,3
175,2
176,3
177,3
178,11
179,38
180,6
181,20
182,3
183,1
184,20
185,2
186,9
187,21
188,24
189,7
190,1
191,15
192,5
193,3
194,3
195,7
196,7
197,4
198,8
199,2
200,7
201,2
202,4
203,10
204,2
205,8
206,10
207,2
208,21
209,3
210,1
211,10
212,7
213,24
214,24
215,20
216,17
217,2
218,1
219,1
220,2
221,25
222,28
223,13
224,1
225,24
226,1
227,3
228,19
229,3
230,1
231,15
232,3
233,11
234,2
235,20
236,3
237,1
238,3
239,11
240,4
241,18
242,4
243,19
244,6
245,1
246,30
247,31
248,1
249,4
250,2
251,5
252,2
253,1
254,3
255,3
256,2
257,3
258,18
259,4
260,9
261,3
262,11
263,4
264,15
265,18
266,26
267,13
268,28
269,6
270,1
271,11
272,2
273,15
274,7
275,4
276,12
277,1
278,11
279,2
280,1
281,2
282,1
283,13
284,12
285,4
286,4
287,12
288,3
289,3
290,16
291,11
292,7
293,8
294,15
295,38
296,25
297,1
298,8
299,1
300,7
301,1
302,22
303,12
304,24
305,20
306,1
307,2
308,2
309,1
310,8
311,3
312,17
313,41
314,7
315,25
316,5
317,1
318,4
319,6
320,7
321,13
322,3
323,1
324,22
325,4
326,27
327,5
328,19
329,9
330,2
331,6
332,35
333,3
334,1
335,10
336,32
337,2
338,2
339,30
340,25
341,31
342,4
343,4
344,3
345,2
346,1
347,8
348,2
349,7
350,31
351,4
352,1
353,10
354,1
355,16
356,4
357,5
358,29
359,3
360,43
361,4
362,25
363,3
364,2
365,24
366,7
367,1
368,24
369,2
370,2
371,7
372,6
373,12
374,19
375,17
376,1
377,9
378,15
379,2
380,1
381,1
382,6
383,4
384,2
385,7
386,42
387,34
388,5
389,3
390,2
391,17
392,2
393,28
394,3
395,1
396,37
397,11
398,34
399,10
400,4
401,1
402,13
403,8
404,15
405,12
406,1
407,2
408,9
409,4
410,2
411,19
412,1
413,9
414,41
415,1
416,28
417,1
418,43
419,1
420,2
421,9
422,1
423,9
424,30
425,5
426,13
427,12
428,3
429,1
430,2
431,3
432,6
433,3
434,15
435,12
436,32
437,1
438,9
